DATE_TIME,ICAO,TEMP,WIND_SPEED,PRECIP,CONDITION
2016-01-17 15:00:00,LFBO,48,0,0.0,Fair
2016-01-17 15:30:00,LFBO,46,3,0.0,Fair
2016-01-17 16:00:00,LFBO,46,2,0.0,Fair
2016-01-17 16:30:00,LFBO,46,3,0.0,Fair
2016-01-17 17:00:00,LFBO,45,5,0.0,Fair
2016-01-17 17:30:00,LFBO,45,3,0.0,Fair
2016-01-17 18:00:00,LFBO,45,6,0.0,Fair
2016-01-17 18:30:00,LFBO,45,6,0.0,Fair
2016-01-17 19:00:00,LFBO,43,5,0.0,Fair
2016-01-17 19:30:00,LFBO,43,2,0.0,Fair
2016-01-17 20:00:00,LFBO,41,2,0.0,Fair
2016-01-17 20:30:00,LFBO,41,3,0.0,Fair
2016-01-17 21:00:00,LFBO,41,3,0.0,Fair
2016-01-17 21:30:00,LFBO,41,3,0.0,Fair
2016-01-17 22:00:00,LFBO,43,2,0.0,Fair
2016-01-17 22:30:00,LFBO,41,2,0.0,Fair
2016-01-17 23:00:00,LFBO,41,2,0.0,Fair
2016-01-17 23:30:00,LFBO,41,0,0.0,Fair
2016-01-17 00:00:00,LFBO,41,2,0.0,Fair
2016-01-17 00:30:00,LFBO,41,1,0.0,Fair
2016-01-18 00:00:00,DTTA,48,9,0.0,Partly Cloudy
2016-01-18 00:30:00,DTTA,46,3,0.0,Partly Cloudy
2016-01-18 01:00:00,DTTA,48,8,0.0,Light Rain
2016-01-18 01:30:00,DTTA,48,8,0.0,Light Rain
2016-01-18 02:00:00,DTTA,46,9,0.0,Partly Cloudy
2016-01-18 02:30:00,DTTA,48,8,0.0,Partly Cloudy
2016-01-18 03:00:00,DTTA,48,7,0.0,Partly Cloudy
2016-01-18 03:30:00,DTTA,48,9,0.0,Partly Cloudy
2016-01-18 04:00:00,DTTA,48,8,0.0,Partly Cloudy
2016-01-18 04:30:00,DTTA,48,7,0.0,Partly Cloudy
2016-01-18 05:00:00,DTTA,48,8,0.0,Partly Cloudy
2016-01-18 05:30:00,DTTA,48,6,0.0,Partly Cloudy
2016-01-18 06:00:00,DTTA,46,3,0.0,Partly Cloudy
2016-01-18 06:30:00,DTTA,45,7,0.0,Partly Cloudy
2016-01-18 07:00:00,DTTA,45,5,0.0,Partly Cloudy
2016-01-18 07:30:00,DTTA,45,7,0.0,Partly Cloudy
2016-01-18 08:00:00,DTTA,46,6,0.0,Partly Cloudy
2016-01-18 08:30:00,DTTA,46,7,0.0,Partly Cloudy
2016-01-18 09:00:00,DTTA,48,8,0.0,Partly Cloudy
2016-01-18 10:00:00,DTTA,50,8,0.0,Partly Cloudy
2016-01-18 10:30:00,DTTA,52,10,0.0,Partly Cloudy
2016-01-18 11:00:00,DTTA,52,12,0.0,Partly Cloudy
2016-01-18 11:30:00,DTTA,54,10,0.0,Partly Cloudy
2016-01-18 12:00:00,DTTA,55,10,0.0,Partly Cloudy
2016-01-18 12:30:00,DTTA,55,9,0.0,Partly Cloudy
2016-01-18 13:00:00,DTTA,57,7,0.0,Partly Cloudy
2016-01-18 13:30:00,DTTA,55,6,0.0,Partly Cloudy
2016-01-18 14:00:00,DTTA,59,5,0.0,Partly Cloudy
2016-01-18 14:30:00,DTTA,55,7,0.0,Partly Cloudy
2016-01-18 15:00:00,DTTA,55,7,0.0,Partly Cloudy
2016-01-18 15:30:00,DTTA,57,7,0.0,Partly Cloudy
2016-01-18 16:00:00,DTTA,57,7,0.0,Partly Cloudy
2016-01-18 16:30:00,DTTA,57,3,0.0,Partly Cloudy
2016-01-18 17:00:00,DTTA,55,5,0.0,Partly Cloudy
2016-01-18 17:30:00,DTTA,55,5,0.0,Partly Cloudy
2016-01-18 18:00:00,DTTA,54,3,0.0,Partly Cloudy
